trace file for the simulation
format of the file
<event> <time> <item id> <server status> <queue size>

a	0.0279172	1	0	0
s	0.0279172	1	1	0
a	0.0656862	2	1	0
a	0.0766413	3	1	1
a	0.0802253	4	1	2
a	0.0911941	5	1	3
d	0.0923599	1	1	4
s	0.0923599	2	1	3
a	0.0929486	6	1	3
a	0.106122	7	1	4
a	0.160087	8	1	5
a	0.179548	9	1	6
d	0.188325	2	1	7
s	0.188325	3	1	6
a	0.189539	10	1	6
a	0.192485	11	1	7
d	0.208594	3	1	8
s	0.208594	4	1	7
a	0.238065	12	1	7
a	0.253667	13	1	8
a	0.264495	14	1	9
d	0.271956	4	1	10
s	0.271956	5	1	9
a	0.285049	15	1	9
a	0.298413	16	1	10
a	0.323484	17	1	11
a	0.332092	18	1	12
d	0.343224	5	1	13
s	0.343224	6	1	12
a	0.35051	19	1	12
a	0.367478	20	1	13
a	0.381285	21	1	14
a	0.393876	22	1	15
a	0.411872	23	1	16
d	0.422707	6	1	17
s	0.422707	7	1	16
a	0.442663	24	1	16
a	0.558908	25	1	17
a	0.577133	26	1	18
a	0.654489	27	1	19
a	0.689159	28	1	20
a	0.693861	29	1	21
a	0.697117	30	1	22
a	0.762668	31	1	23
a	0.77059	32	1	24
a	0.775541	33	1	25
a	0.82491	34	1	26
a	0.829669	35	1	27
a	0.833199	36	1	28
a	0.840774	37	1	29
a	0.870865	38	1	30
a	0.87854	39	1	31
a	0.886169	40	1	32
a	0.913051	41	1	33
a	0.955697	42	1	34
a	0.98319	43	1	35
a	0.988135	44	1	36
a	0.99414	45	1	37
a	1.00077	46	1	38
d	1.00496	7	1	39
s	1.00496	8	1	38
a	1.02818	47	1	38
a	1.03103	48	1	39
a	1.04251	49	1	40
d	1.05079	8	1	41
s	1.05079	9	1	40
a	1.07109	50	1	40
a	1.08705	51	1	41
a	1.09266	52	1	42
a	1.09671	53	1	43
a	1.11559	54	1	44
d	1.11629	9	1	45
s	1.11629	10	1	44
a	1.11896	55	1	44
a	1.1505	56	1	45
a	1.15519	57	1	46
a	1.18207	58	1	47
a	1.26864	59	1	48
a	1.29429	60	1	49
d	1.31132	10	1	50
s	1.31132	11	1	49
a	1.31236	61	1	49
a	1.36044	62	1	50
a	1.36747	63	1	51
a	1.40111	64	1	52
a	1.40859	65	1	53
d	1.42878	11	1	54
s	1.42878	12	1	53
a	1.45722	66	1	53
a	1.46556	67	1	54
a	1.48279	68	1	55
a	1.49214	69	1	56
a	1.4931	70	1	57
a	1.51144	71	1	58
d	1.51794	12	1	59
s	1.51794	13	1	58
a	1.52324	72	1	58
a	1.52324	73	1	59
d	1.54254	13	1	60
s	1.54254	14	1	59
a	1.55336	74	1	59
d	1.57876	14	1	60
s	1.57876	15	1	59
a	1.61291	75	1	59
d	1.6372	15	1	60
s	1.6372	16	1	59
a	1.65643	76	1	59
d	1.74154	16	1	60
s	1.74154	17	1	59
a	1.74439	77	1	59
a	1.76048	78	1	60
a	1.77813	79	1	61
a	1.79329	80	1	62
a	1.81539	81	1	63
a	1.82938	82	1	64
a	1.8356	83	1	65
a	1.85683	84	1	66
a	1.87121	85	1	67
a	1.8759	86	1	68
a	1.90978	87	1	69
a	1.94965	88	1	70
d	1.96038	17	1	71
s	1.96038	18	1	70
a	1.97675	89	1	70
a	2.0195	90	1	71
a	2.05612	91	1	72
d	2.06899	18	1	73
s	2.06899	19	1	72
a	2.11237	92	1	72
a	2.1221	93	1	73
a	2.13873	94	1	74
a	2.14989	95	1	75
a	2.15449	96	1	76
a	2.17089	97	1	77
a	2.18788	98	1	78
a	2.19796	99	1	79
d	2.20822	19	1	80
s	2.20822	20	1	79
a	2.21508	100	1	79
d	2.42341	20	1	80
s	2.42341	21	1	79
d	2.49901	21	1	79
s	2.49901	22	1	78
d	2.50235	22	1	78
s	2.50235	23	1	77
d	2.52743	23	1	77
s	2.52743	24	1	76
d	3.04458	24	1	76
s	3.04458	25	1	75
d	3.25172	25	1	75
s	3.25172	26	1	74
d	3.32057	26	1	74
s	3.32057	27	1	73
d	3.47047	27	1	73
s	3.47047	28	1	72
d	3.48979	28	1	72
s	3.48979	29	1	71
d	3.61444	29	1	71
s	3.61444	30	1	70
d	3.6222	30	1	70
s	3.6222	31	1	69
d	3.62708	31	1	69
s	3.62708	32	1	68
d	3.70035	32	1	68
s	3.70035	33	1	67
d	3.82973	33	1	67
s	3.82973	34	1	66
d	3.87444	34	1	66
s	3.87444	35	1	65
d	4.05517	35	1	65
s	4.05517	36	1	64
d	4.09787	36	1	64
s	4.09787	37	1	63
d	4.12927	37	1	63
s	4.12927	38	1	62
d	4.30238	38	1	62
s	4.30238	39	1	61
d	4.40307	39	1	61
s	4.40307	40	1	60
d	4.90118	40	1	60
s	4.90118	41	1	59
d	4.95365	41	1	59
s	4.95365	42	1	58
d	5.03953	42	1	58
s	5.03953	43	1	57
d	5.15226	43	1	57
s	5.15226	44	1	56
d	5.22825	44	1	56
s	5.22825	45	1	55
d	5.23824	45	1	55
s	5.23824	46	1	54
d	5.36491	46	1	54
s	5.36491	47	1	53
d	5.40028	47	1	53
s	5.40028	48	1	52
d	5.48256	48	1	52
s	5.48256	49	1	51
d	5.5069	49	1	51
s	5.5069	50	1	50
d	5.51415	50	1	50
s	5.51415	51	1	49
d	5.52431	51	1	49
s	5.52431	52	1	48
d	5.61829	52	1	48
s	5.61829	53	1	47
d	5.74545	53	1	47
s	5.74545	54	1	46
d	5.85481	54	1	46
s	5.85481	55	1	45
d	6.03567	55	1	45
s	6.03567	56	1	44
d	6.07012	56	1	44
s	6.07012	57	1	43
d	6.14942	57	1	43
s	6.14942	58	1	42
d	6.32647	58	1	42
s	6.32647	59	1	41
d	6.41366	59	1	41
s	6.41366	60	1	40
d	6.56402	60	1	40
s	6.56402	61	1	39
d	6.65275	61	1	39
s	6.65275	62	1	38
d	6.67498	62	1	38
s	6.67498	63	1	37
d	6.67777	63	1	37
s	6.67777	64	1	36
d	6.79471	64	1	36
s	6.79471	65	1	35
d	6.84089	65	1	35
s	6.84089	66	1	34
d	6.9128	66	1	34
s	6.9128	67	1	33
d	6.97909	67	1	33
s	6.97909	68	1	32
d	6.97972	68	1	32
s	6.97972	69	1	31
d	7.10443	69	1	31
s	7.10443	70	1	30
d	7.18034	70	1	30
s	7.18034	71	1	29
d	7.25001	71	1	29
s	7.25001	72	1	28
d	7.2585	72	1	28
s	7.2585	73	1	27
d	7.26456	73	1	27
s	7.26456	74	1	26
d	7.52438	74	1	26
s	7.52438	75	1	25
d	7.61232	75	1	25
s	7.61232	76	1	24
d	7.65655	76	1	24
s	7.65655	77	1	23
d	7.77657	77	1	23
s	7.77657	78	1	22
d	7.83934	78	1	22
s	7.83934	79	1	21
d	8.26044	79	1	21
s	8.26044	80	1	20
d	8.47063	80	1	20
s	8.47063	81	1	19
d	8.56569	81	1	19
s	8.56569	82	1	18
d	8.61336	82	1	18
s	8.61336	83	1	17
d	8.61574	83	1	17
s	8.61574	84	1	16
d	8.63637	84	1	16
s	8.63637	85	1	15
d	8.65251	85	1	15
s	8.65251	86	1	14
d	8.67374	86	1	14
s	8.67374	87	1	13
d	8.92931	87	1	13
s	8.92931	88	1	12
d	9.05297	88	1	12
s	9.05297	89	1	11
d	9.08125	89	1	11
s	9.08125	90	1	10
d	9.33387	90	1	10
s	9.33387	91	1	9
d	9.42816	91	1	9
s	9.42816	92	1	8
d	9.4524	92	1	8
s	9.4524	93	1	7
d	9.51031	93	1	7
s	9.51031	94	1	6
d	9.80924	94	1	6
s	9.80924	95	1	5
d	9.87315	95	1	5
s	9.87315	96	1	4
d	9.93117	96	1	4
s	9.93117	97	1	3
d	9.9739	97	1	3
s	9.9739	98	1	2
d	10.031	98	1	2
s	10.031	99	1	1
d	10.1021	99	1	1
s	10.1021	100	1	0
d	10.168	100	0	0
